id,category,dataset_or_item,publisher_or_agency,official_link,doi,license,role_in_project,verification_method,verification_date,verification_result
C11,Competition official,National Lab of the Rockies (NLR) site,NLR,https://www.nlr.gov/,,Public,Prize administrator (American-Made); contact gemsprize@nlr.gov,linked-from-official-page,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): LINKED from competition main page; domain confirmed live via rules PDF host docs.nlr.gov
D1,Competition data,training_features.tif (problem-page name) = numeric_features.tif (reference solution) = gems-geodawn-numerical-features.tif (Dropbox mirror),DrivenData / DOE / USGS,https://www.drivendata.org/competitions/306/competition-doe-gems/data/,,Per competition terms,Multiband GeoTIFF EPSG:32611 100m - the model input,inferred from official pages,2026-09-12,IRREGULARITY-FLAGGED - three different names across official page reference solution and mirror; handle all in code
D2,Competition data,labels.tif (problem page and reference solution) = existing_faults.tif (Dropbox mirror),DrivenData / DOE / USGS / INGENIOUS,https://www.drivendata.org/competitions/306/competition-doe-gems/data/,,Per competition terms,Binary fault labels 100m from USGS Qfaults + INGENIOUS (per rules PDF 3.3),inferred from official pages,2026-09-12,IRREGULARITY-FLAGGED - same naming drift as D1
D3,Competition data,sample_submission.tif (problem page) = example_submission.tif (Dropbox mirror),DrivenData / DOE,https://www.drivendata.org/competitions/306/competition-doe-gems/data/,,Per competition terms,Format template float32 [0-1] EPSG:32611 100m,inferred from official pages,2026-09-12,IRREGULARITY-FLAGGED - same naming drift as D1
D4,Competition data,1m_DEM_links.csv (problem page) = Digital-elevation-model-links-JSON.pdf (Dropbox mirror),DrivenData / DOE / USGS 3DEP,https://www.drivendata.org/competitions/306/competition-doe-gems/data/,,Per competition terms,Links to 1m DEM tiles (USGS 3DEP),inferred from official pages,2026-09-12,PARTIAL CAPTURE 2026-09-12 - Dropbox mirror PDF fetched via platform (chunk 1/13; Dropbox st signature expired mid-capture); 35 unique DEM tile URLs extracted mechanically (data/dem_links.json) with 6 S3-verified spot checks (1316MB); complete list via scripts/download_dem_tiles.py --complete-listing
D5,Competition data mirror,GEMS_96647.pdf (Dropbox mirror of rules PDF),Competition-provided mirror,https://www.dropbox.com/scl/fi/aemhtutjgcp6tr3tint94/GEMS_96647.pdf?rlkey=rek210cj2smnmzb8n0sla1vmd&st=wz4kofki&dl=0,,Competition terms,Mirror of official rules PDF,user-provided,2026-09-12,VERIFIED-IDENTITY 2026-09-12 - fetched via platform; Dropbox redirected to uc1e5a971f0f01d2561eedee33fc.dl.dropboxusercontent.com; content matches canonical NLR PDF (title/date/TOC identical)
D6,Competition data mirror,example_submission.tif (Dropbox),Competition-provided mirror,https://www.dropbox.com/scl/fi/6rgvnuady818ol8yqgis4/example_submission.tif?rlkey=kbykilvau066xuogoosbf4cq8&st=8junzdyw&dl=0,,Competition terms,Submission template,user-provided,2026-09-12,NOT FETCHED 2026-09-12 - binary GeoTIFF not deliverable via text fetch; sandbox egress allowlist blocks Dropbox; download via scripts/download_competition_data.sh
D7,Competition data mirror,existing_faults.tif (Dropbox),Competition-provided mirror,https://www.dropbox.com/scl/fi/t7fyt03qdh9egyme0itwo/existing_faults.tif?rlkey=yiao96uluqdkipf0h5vju71jf&st=rnino7ya&dl=0,,Competition terms,Training labels raster,user-provided,2026-09-12,NOT FETCHED 2026-09-12 - same as D6
D8,Competition data mirror,gems-geodawn-numerical-features.tif (Dropbox),Competition-provided mirror,https://www.dropbox.com/scl/fi/3vz9o0wwavi26xaeoxlwr/gems-geodawn-numerical-features.tif?rlkey=je8d8fepqfbst9lnwsq9rkplu&st=zj1lag1r&dl=0,,Competition terms,Training features raster,user-provided,2026-09-12,NOT FETCHED 2026-09-12 - same as D6
D9,Competition data mirror,Digital-elevation-model-links-JSON.pdf (Dropbox),Competition-provided mirror,https://www.dropbox.com/scl/fi/ig0mban712ns1atphgphe/Digital-elevation-model-links-JSON.pdf?rlkey=zm77f1vbtt2if8hlruymptnu3&st=srhhir10&dl=0,,Competition terms,1m DEM link list,user-provided,2026-09-12,PARTIAL CAPTURE - see D4; evidence at data/evidence/dem_links_pdf_chunk0.txt
E1,External data official,GeoDAWN airborne magnetic and radiometric surveys (ScienceBase folder),USGS (Glen J.M.G. and Earney T.E. 2024),https://www.sciencebase.gov/catalog/item/657e1d85d34e23d3533209f7,10.5066/P93LGLVQ,CC0 1.0 Universal,Source survey for magnetic/radiometric feature bands; 149030 line-km over 51857 sq km; Areas 1-2; contractor EDCON-PRJ,fetch_page,2026-09-12,VERIFIED - citation dates and full file list with sizes confirmed (22103_area1_grids.zip 42.43MB 22103_area2_grids.zip 227.39MB 22103_mag_a1_gdb.zip 350.44MB 22103_spec_a1_gdb.zip 378.61MB 22103_area1_tiffs.zip 43.57MB 22103_area2_tiffs.zip 230.54MB 22103_mag_a2_csv.zip 3.74GB etc.)
E2,External data official,GeoDAWN USGS data overview page,USGS,https://www.usgs.gov/data/geodawn-airborne-magnetic-and-radiometric-surveys-northwestern-great-basin-nevada-and,10.5066/P93LGLVQ,CC0 1.0 Universal,Human-readable release page; Rights explicitly CC0 1.0,fetch_page,2026-09-12,VERIFIED - published 2024-03-04; authors Glen and Earney
E3,External data official,GeoDAWN DOI landing,USGS,https://doi.org/10.5066/P93LGLVQ,10.5066/P93LGLVQ,CC0 1.0,Canonical citation target (cited in official rules PDF footnote 3),resolved-via-ScienceBase-and-USGS-page,2026-09-12,VERIFIED - DOI appears on both ScienceBase and usgs.gov pages
E4,External data official,USGS Quaternary Fault and Fold Database of the United States (ScienceBase folder),USGS Earthquake Hazards,https://www.sciencebase.gov/catalog/item/589097b1e4b072a7ac0cae23,10.5066/P9BCVRCK,Public Domain (USGS),Origin of training fault labels (with INGENIOUS update); files Qfaults_GIS.zip 30.87MB qfaults.kmz 18.97MB Change_Log.txt,fetch_page,2026-09-12,VERIFIED - last update 2020-09-02; citation U.S. Geological Survey 2020 Quaternary Fault and Fold Database for the Nation
E5,External data official,QFaults web page (interactive map and downloads),USGS Earthquake Hazards,https://www.usgs.gov/programs/earthquake-hazards/faults,,Public Domain,QFaults portal (listed as related resource on ScienceBase item),fetch_page,2026-09-18,VERIFIED LIVE 2026-09-18 from this repository (fetch_page reaches usgs.gov although sandbox curl does not - egress allowlist): QFaults portal is the human-readable entry point for the same database the MapServer (E6) serves; citation and DOI agree with the ScienceBase item (E4)
E6,External data official,QFaults ArcGIS MapServer (service root),USGS Earthquake Hazards,https://earthquake.usgs.gov/arcgis/rest/services/haz/Qfaults/MapServer,10.5066/P9BCVRCK,Public Domain (USGS),Programmatic fault geometry access: the endpoint scripts/fetch_qfaults.py pages for catalogue B of the cross-catalogue transfer measurement,fetch_page,2026-09-18,"VERIFIED LIVE (supersedes the 2026-09-12 indirect note): currentVersion 11.5, mapName ""2020 Release"", capabilities Map,Query,Data, supportedQueryFormats JSON/geoJSON/PBF, maxRecordCount 2000; layers 11 Nevada, 4 California, 16 Utah, 21 National Database (polyline), 22 Fault Areas (polygon), table 23 citations"
E7,External data official,USGS FAQ where to find US fault map (KML and GIS),USGS,https://www.usgs.gov/faqs/where-can-i-find-a-fault-map-united-states-one-available-gis-format,,Public Domain,Confirms KML + shapefile availability,web_search,2026-09-12,VERIFIED - FAQ text confirms KML and GIS downloads from QFaults site
E8,External data official,3DEP products and services about page,USGS National Geospatial Program,https://www.usgs.gov/3d-elevation-program/about-3dep-products-services,,Public Domain - free without use restrictions,1m DEM program; source for DEM links file,fetch_page,2026-09-12,VERIFIED - quote: all 3DEP products available free of charge and without use restrictions
E9,External data official,The National Map Downloader,USGS NGP,https://apps.nationalmap.gov/downloader/,,Public Domain,DEM download client,web_search (USGS media page + docs),2026-09-12,VERIFIED - USGS page confirms URL as the National Map Downloader
E10,External data official,3DEP LidarExplorer,USGS NGP,https://apps.nationalmap.gov/lidar-explorer/,,Public Domain,Lidar/DEM discovery,web_search,2026-09-12,VERIFIED - referenced from USGS 3DEP quick links (usgs.gov/NationalMap/LidarExplorer) and third-party guides agree on apps URL
E11,External data official,USGS 3DEP LiDAR point clouds on AWS Open Data,Hobu Inc. / USGS,https://registry.opendata.aws/usgs-lidar/,,US Government Public Domain,Streamable EPT + requester-pays LAZ buckets (s3://usgs-lidar-public),fetch_page,2026-09-12,VERIFIED - license stated on registry page
E12,External data official,INGENIOUS Great Basin Regional Dataset Compilation (GDR 1391),GBCGE NBMG UNR (Ayling et al. 2022),https://gdr.openei.org/submissions/1391,10.15121/1881483,CC BY 4.0,Source of competition feature layers (conductance detrended elevation geodetics gravity magnetics seismicity faults heat flow) and Quaternary Faults v1/v2 shapefiles,fetch_page,2026-09-12,VERIFIED - 116.98MB 9 files listed; license CC BY 4.0 badge; full resource list captured
E13,External data official,INGENIOUS DOI landing (GDR),GDR/OSTI,https://doi.org/10.15121/1881483,10.15121/1881483,CC BY 4.0,Canonical citation (footnote 4 of official rules PDF),web_search + platform fetch_page of GDR submission 1391 landing,2026-09-12,"VERIFIED - doi.org/10.15121/1881483 is the GDR landing page for 'INGENIOUS - Great Basin Regional Dataset Compilation' (GBCGE, NBMG, UNR; 30 June 2022), publicly accessible, CC licence noted; the same DOI's OSTI record and data.gov entry agree (data.gov identifier https://data.openei.org/submissions/7502). This is the DOI the competition rules PDF cites as the source of the labels."
E14,External data official,INGENIOUS OSTI record (30 June 2022),OSTI,https://www.osti.gov/biblio/1881483,10.15121/1881483,CC BY 4.0,Full author list matching rules PDF footnote 4,web_search hit on the OSTI bibliographic record,2026-09-12,"VERIFIED - OSTI ID 1881483, Report Number 1391, sponsor USDOE EERE Geothermal Technologies Program (EE-4G), datePublished 2022-06-30; abstract lists exactly the sub-dataset families we cite (quaternary faults, geodetic shear/dilation, heat flow, MT conductance, magnetics, gravity, seismicity, slip-dilation tendency)"
E15,External data official,INGENIOUS project site,GBCGE,https://gbcge.org/current-projects/ingenious/,,Project site,Project background,linked-from-GDR,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): linked as INGENIOUS Project Site on GDR 1391
E16,External data official,INGENIOUS sub-dataset Electrical Conductance Maps - MT,USGS (via GDR 1391),https://doi.org/10.5066/P9TWT2LU,10.5066/P9TWT2LU,Public Domain (USGS),Source of surface conductivity / conductance feature,platform DOI fetch (loads the publisher landing page) + scripts/verify_links.py on a runner,2026-09-16,"VERIFIED DIRECTLY 2026-09-16 - DOI followed by the platform fetcher to ScienceBase item 62979746d34ec53d276c113b, 'Electrical Conductance Maps of the Great Basin, USA' (Peacock and Bedrosian 2022); title/citation/file list read off that page. Machine-readable record: data/evidence/sciencebase_dois.json"
E17,External data official,INGENIOUS sub-dataset Elevation Trend and Detrended Elevation,USGS (via GDR 1391),https://doi.org/10.5066/P9MQRCBY,10.5066/P9MQRCBY,Public Domain (USGS),Source of detrended elevation feature,platform DOI fetch (loads the publisher landing page) + scripts/verify_links.py on a runner,2026-09-16,"VERIFIED DIRECTLY 2026-09-16 - DOI followed by the platform fetcher to ScienceBase item 64e597dfd34e736b81e198d2, 'Maps of elevation trend and detrended elevation for the Great Basin, USA' (DeAngelo, Burns, Mordensky and Lindsey 2023-09-29); one 12.34 GB grid zip + study-area shapefile; USGS Energy Program / INGENIOUS (DOE GTO DE-EE0009254). Machine-readable record: data/evidence/sciencebase_dois.json"
E18,External data official,INGENIOUS sub-dataset Geophysical Maps - Gravity and Magnetics,USGS (via GDR 1391),https://doi.org/10.5066/P9Z6SA1Z,10.5066/P9Z6SA1Z,Public Domain (USGS),Source of gravity/magnetics feature layers,platform DOI fetch (loads the publisher landing page) + scripts/verify_links.py on a runner,2026-09-16,"VERIFIED DIRECTLY 2026-09-16 - DOI followed by the platform fetcher to ScienceBase item 628d4fabd34ef70cdba3c4a4, 'Regional geophysical maps of the Great Basin, USA' (Glen, Earney, Zielinski, Schermerhorn, Dean and Hardwick 2022-07-28); GB_geophysics_grids.zip 6.5 MB holds the gravity grid, the magnetic grid and depth-to-basement. The same run's runner-side HTTP check timed out on this DOI while resolving the others - see the irregularity note in data/evidence/sciencebase_dois.json. Machine-readable record: data/evidence/sciencebase_dois.json"
E19,External data official,INGENIOUS sub-dataset Heat Flow Maps,USGS (via GDR 1391),https://doi.org/10.5066/P9BZPVUC,10.5066/P9BZPVUC,Public Domain (USGS),Background conductive heat flow context,linked-from-GDR,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): listed on GDR 1391
E20,External data official,INGENIOUS sub-dataset Quaternary Faulting Slip and Dilation Tendency,USGS (via GDR 1391),https://doi.org/10.5066/P9YL58W6,10.5066/P9YL58W6,Public Domain (USGS),Fault criticality context layer,linked-from-GDR,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): listed on GDR 1391
E21,External data official,INGENIOUS Thermal Conductivity (linked dataset GDR 1390),GBCGE/SMU (via GDR 1391),https://gdr.openei.org/submissions/1390,,CC (see GDR),Thermal conductivity well data,linked-from-GDR,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): listed on GDR 1391 as View Linked Dataset
E22,External data official,GBCGE Subsurface Database Explorer and APIs (OSTI dataset record),GBCGE (Mlawsky and Ayling 2020),https://www.osti.gov/dataexplorer/biblio/dataset/1987556,10.15121/1987556,Public (per OSTI),Wells springs temperatures chemistry external features,fetch_page,2026-09-12,VERIFIED - authors publication date 2020-03-15 and DOI confirmed
E23,External data official,Geothermal resource favorability features and predictions (ScienceBase),USGS (Mordensky S.P. and DeAngelo J. 2025),https://www.sciencebase.gov/catalog/item/66e88690d34e0606a9db9b43,10.5066/P14EET2C,Public (USGS release),16 input features + favorability percentiles; companion to Geothermics paper DOI 10.1016/j.geothermics.2025.103450 (Mordensky Burns Lipor DeAngelo 2025),fetch_page,2026-09-12,VERIFIED - publication date 2025-08-26; zip 1.22GB; DOI P14EET2C confirmed
E24,External data official,EarthMRI geoscience data portal,USGS Mineral Resources,https://mrdata.usgs.gov/earthmri/,,Public Domain,EarthMRI context (GeoDAWN flown under EarthMRI),fetch_page,2026-09-12,VERIFIED - portal live with focus areas and acquisition projects
E25,External data official,EarthMRI technical overview fact sheet (Day W. 2020 FS 2020-3055),USGS,https://pubs.usgs.gov/publication/fs20203055,10.3133/fs20203055,Public Domain,EarthMRI program overview,web_search,2026-09-12,VERIFIED - Day W. 2020 Fact Sheet 2020-3055 4p
E26,External data official,Isostatic residual gravity anomaly grid for conterminous US (metadata),USGS (Kucks R.P. 1999),https://mrdata.usgs.gov/metadata/usgraviso.html,,Public Domain,Origin of isostatic gravity feature; Bouguer reduction density 2.67 g/cc; ~1M onshore values,web_search,2026-09-12,VERIFIED - metadata page with Kucks 1999 citation (faq variant URL removed as unverified)
E27,External data official,Isostatic residual gravity grid page,USGS mrdata,https://mrdata.usgs.gov/gravity/isostatic/,,Public Domain,Grid download page,web_search (EDX NETL record cites URL),2026-09-12,VERIFIED - URL cited in DOE EDX metadata record
E28,External data official,Geosoft Viewer (free grids reader),Seequent,https://www.seequent.com/,,Proprietary free viewer,Reads GeoDAWN .grd/.map/.gdb,linked-from-ScienceBase,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): named in GeoDAWN summary as free downloadable viewer
L1,Literature (competition-listed),Mattéo et al 2021 Automatic fault mapping in remote optical images and topographic data with deep learning - JGR Solid Earth 126 e2020JB021269,JGR Solid Earth / AGU,https://doi.org/10.1029/2020JB021269,10.1029/2020JB021269,Open (listed on competition About page),Method inspiration for fault mapping with DL,listed-on-competition-about-page,2026-09-12,VERIFIED - listed on official About page additional-information
L2,Literature (competition-listed),Hermant et al 2025 Using deep learning to map Quaternary faults in Western USA - Stanford Geothermal Workshop 50th,Stanford SGW 2025,https://pangea.stanford.edu/ERE/db/GeoConf/papers/SGW/2025/Hermant.pdf,,Open,Closest published analog to this competition (Great Basin Qfaults mapping with DL),listed-on-competition-about-page,2026-09-12,VERIFIED - listed on official About page additional-information
L3,Literature verified,Lei et al 2025 3D fault detection method using TransVNet - Front Earth Sci 13 1635344 (published 08 Aug 2025),Frontiers,https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2025.1635344/full,10.3389/feart.2025.1635344,Open Access,Transformer+VNet beats U-Net/TransUNet on continuity and accuracy,web_search,2026-09-12,VERIFIED - citation Lei Y et al 2025 Front Earth Sci 13:1635344 (CORRECTED earlier wrong date Dec 27 2025)
L4,Literature verified,Dalton et al 2025 Geo-SegNet contrastive learning enhanced U-net for geomaterial segmentation - Computers & Geosciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S2949673X25000026,,ScienceDirect (open/abstract),Contrastive-learning encoder (modified ResNet-101) improves segmentation vs standard U-Net; NOTE scope is micro-CT geomaterial pore segmentation not fault maps,web_search,2026-09-12,VERIFIED - paper exists; DESCRIPTION CORRECTED to match abstract (earlier text over-claimed fault relevance)
L5,Literature verified,Zhong et al 2024 A Frangi filter aided deep learning approach for palaeochannel recognition - GJI 236(3) 1526-1544,Oxford University Press,https://doi.org/10.1093/gji/ggad491,10.1093/gji/ggad491,Open Access,Frangi filtering enhances stripe-like features improving sensitivity for subsequent U-Net-style segmentation,web_search,2026-09-12,VERIFIED - authors Zhong Wang Guo Liu Chen Xu; online 22 Dec 2023 issue 2024 (CORRECTED citation year)
L6,Literature verified,Guo et al 2025 The intelligent fault identification method based on multi-source information fusion and deep learning - Sci Rep 15 6643 (erratum 15 14821),Nature Portfolio,https://www.nature.com/articles/s41598-025-90823-5,10.1038/s41598-025-90823-5,Open Access (CC),16 factors from spectral/topographic/geomorphic/structural sources; 4 ML methods rank importance; CNN identifies faults; PMC11850705,web_search,2026-09-12,VERIFIED - published 24 Feb 2025; authors Guo D Yang X Peng P Zhu L He H; erratum 28 Apr 2025 noted
L7,Literature verified,Chukwu et al 2024 Unsupervised machine learning and depth clusters of Euler deconvolution of magnetic data - Exploration Geophysics 55(3) 223-245,Taylor & Francis (ASEG),https://doi.org/10.1080/08123985.2023.2299475,10.1080/08123985.2023.2299475,Open Access (oa flag on earthdoc),Euler deconvolution + DBSCAN cluster to image fault location dip and overprinting from magnetic data,web_search,2026-09-12,VERIFIED - authors Chukwu Betts Moore Munukutla Armit McLean Grose; online 03 May 2024 (CORRECTED year 2023->2024 and journal name)
L8,Literature verified,Wang Z and AlRegib G 2014 Fault detection in seismic datasets using Hough transform - ICASSP pp 2372-2376,IEEE,https://ieeexplore.ieee.org/document/6854024/,10.1109/ICASSP.2014.6854024,Paid (free PDF mirror verified),Semi-automatic fault lines from discontinuity map via Hough + double-threshold false-feature removal,web_search,2026-09-12,VERIFIED - DOI and pages confirmed; free PDF at http://dihana.cps.unizar.es/proceedings/ICASSP/2014/papers/p2391-wang.pdf (gatech mirror link removed as unverified)
L9,Literature verified,Hassan H and Goussev S 2019 Deep learning approach to automatic detection of faults and fractures from magnetic data using CNN - GeoConvention 2019,GeoConvention,https://geoconvention.com/wp-content/uploads/abstracts/2019/GC2019_313_Deep_learning_approach_to_automatic_detection_of_faults_and_fractures_CNN.pdf,,Free abstract,CNN edge/line detection of faults on aeromagnetic images,web_search,2026-09-12,VERIFIED - authors and title confirmed by direct PDF hit
L10,Literature verified,Bai et al 2024 Joint gravity and magnetic inversion using CNNs deep learning - Remote Sensing 16(7) 1115,MDPI,https://www.mdpi.com/2072-4292/16/7/1115,10.3390/rs16071115,Open Access CC BY 4.0,Data-driven CNN joint inversion direct field-to-property mapping,web_search,2026-09-12,VERIFIED - authors Bai Wang Wang Yu Lukyanenko Stepanova Yagola; 22 Mar 2024
L11,Literature verified,Rafiq et al 2025 Integrated structural analysis for geothermal exploration - MethodsX 14 103189 (PMC11834046),Elsevier/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11834046/,10.1016/j.mex.2025.103189,Open Access CC,Protocol: CET grid analysis lineaments + FFD density maps correlate with geothermal manifestations,web_search,2026-09-12,VERIFIED - authors Rafiq Abu-Mahfouz Chavanidis Soupios; 28 Jan 2025
L12,Literature verified,Guo et al 2021 3D geological structure inversion from Noddy-generated magnetic data using deep learning - Computers & Geosciences 149 104701,Elsevier,https://www.sciencedirect.com/science/article/abs/pii/S0098300421000169,10.1016/j.cageo.2021.104701,Abstract; code on GitHub,CNN classification/regression recovers fault/fold attitudes from magnetic images,web_search,2026-09-12,VERIFIED - authors Guo Li Jessell Giraud Li Wu Li Liu
L13,Literature verified,"Jessell et al 2022 Into the Noddyverse - a massive data store of 3D geological models for machine learning and inversion applications, Earth Syst. Sci. Data 14, 381-392 (CORRECTED: an earlier revision of this table said 381-416)",Copernicus,https://doi.org/10.5194/essd-14-381-2022,10.5194/essd-14-381-2022,CC BY 4.0 (article); model suite Zenodo doi 10.5281/zenodo.4589883,Synthetic pretraining data for fault detection CNNs,fetch_page of the ESSD article landing page (publisher),2026-09-12,"VERIFIED - publisher page confirms title, authors (Jessell, Guo, Li, Lindsay, Scalzo, Giraud, Pirot, Cripps, Ogarko), 'Data description paper', 01 Feb 2022, vol 14 issue 1 pp 381-392, CC BY 4.0, and the 'How to cite' line; 1 million Noddy models hosted at doi 10.5281/zenodo.4589883. Page-range in this table corrected."
L14,Literature verified,Feng Hu Zhao Ai 2025 Geothermal detection using remote sensing + ML + DL (Huanggang City) - J Applied Geophysics,Elsevier,https://www.sciencedirect.com/science/article/abs/pii/S0375650525000902,,Abstract,Two-stage coarse ML + fine MUnet (F1 90.91% GDA 2.82%; RF-MUnet F1 92.47% GDA 1.94%),web_search,2026-09-12,VERIFIED - all metrics match abstract and SSRN preprint
L15,Literature verified,Florsch et al 2022 Magnetic anomalies characterization - deep learning and explainability - Computers & Geosciences 169 105227,Elsevier,https://www.sciencedirect.com/science/article/abs/pii/S0098300422001765,10.1016/j.cageo.2022.105227,Abstract,YOLO+DenseNet localization of magnetic dipoles; Grad-CAM and t-SNE explainability,web_search,2026-09-12,VERIFIED - citation string with volume article and DOI confirmed
L16,Literature verified,Sun Ran Xue et al 2026 U-Net human-in-the-loop semi-supervised vectorization of linear features on archived geological maps - Earth Sci Inform 19 173,Springer,https://link.springer.com/article/10.1007/s12145-026-02224-5,10.1007/s12145-026-02224-5,Hybrid Open (abstract visible),GWSU-Net; 19 maps; 32582 patches 128x128; F1 0.8634 faults 0.8504 boundaries,web_search,2026-09-12,VERIFIED - full citation and metrics from Springer page
L17,Literature verified,GEM Strain Rate Model v2.1 (GSRM v2.1),UNAVCO / Kreemer et al,https://gsrm2.unavco.org/,,Public,GPS-derived strain rate model (context for dilatation/shear strain features),web_search,2026-09-12,VERIFIED - site live; cite Kreemer Blewitt Klein 2014 DOI 10.1002/2014GC005407
L18,Literature verified,"Hammond, Kreemer & Blewett 2024 Robust imaging of fault slip rates in the Walker Lane and Western Great Basin from GPS data using a multi-block model approach, J. Geophys. Res. Solid Earth 129(3), e2023JB028044",Wiley/AGU,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2023JB028044,10.1029/2023JB028044,Abstract/subscription,Walker Lane slip rates from GPS multi-block model,web_search (citations in two independent 2025 papers) + prior fetch_page,2026-09-12,"VERIFIED (bibliographic) - journal, volume 129, issue 3, article e2023JB028044 and full title confirmed from the reference lists of McGill Seismica art.1702 and GRL 2025GL118470; used only as a citation, no data downloaded here"
L19,Literature verified,Faulds JE and Henry CD 2008 Tectonic influences on the spatial and temporal evolution of the Walker Lane - Arizona Geological Society Digest 22 p437-470,NBMG UNR,https://nbmg.unr.edu/staff/faulds/33_AGS22_Faulds_and_Henry_(Walker_Lane)_final.pdf,,Free (author copy),WL-ECSZ accommodates ~20% Pacific-North America motion; GPS strain ~10 mm/yr,fetch_page,2026-09-12,VERIFIED - full PDF text retrieved; bibliographic line confirmed inside PDF
X1,Removed after review,pp1720D PDF (USGS Prof Paper 1720 reduction-to-pole),USGS,https://pubs.usgs.gov/pp/1720/downloads/pdf/p1720D.pdf,,n/a,Previously cited for RTP explanation,search+fetch attempt,2026-09-12,REMOVED - could not verify this exact PDF exists; RTP is instead attributed to Baranov and Naudy 1964 as referenced in verified USGS OFR text
X2,Removed after review,JGR 2014JB011145 (previously described as steady contemporary deformation),Wiley/AGU,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2014JB011145,10.1002/2014JB011145,n/a,Previously cited for Walker Lane strain,web_search,2026-09-12,REMOVED - search shows different title (Late Quaternary slip rates central Walker Lane) - risk of mislabeling; replaced by verified L18
